tahun_data,kabupaten_kota,prevalensi_stunting
2021,Kab.Cilacap,17.9
2021,Kab.Banyumas,21.6
2021,Kab.Purbalingga,16.8
2021,Kab.Banjarnegara,23.3
2021,Kab.Kebumen,15.9
2021,Kab.Purworejo,15.7
2021,Kab.Wonosobo,28.1
2021,Kab.Magelang,22.3
2021,Kab.Boyolali,20.7
2021,Kab.Klaten,15.8
2021,Kab.Sukoharjo,20
2021,Kab.Wonogiri,14
2021,Kab.Karanganyar,16.2
2021,Kab.Sragen,18.8
2021,Kab.Grobogan,9.6
2021,Kab.Blora,21.5
2021,Kab.Rembang,18.7
2021,Kab.Pati,20.6
2021,Kab.Kudus,17.6
2021,Kab.Jepara,25
2021,Kab.Demak,25.5
2021,Kab.Semarang,16.4
2021,Kab.Temanggung,20.5
2021,Kab.Kendal,21.2
2021,Kab.Batang,21.7
2021,Kab.Pekalongan,19.5
2021,Kab.Pemalang,24.7
2021,Kab.Tegal,28
2021,Kab.Brebes,26.3
2021,Kota Magelang,13.3
2021,Kota Surakarta,20.4
2021,Kota Salatiga,15.2
2021,Kota Semarang,21.3
2021,Kota Pekalongan,20.6
2021,Kota Tegal,23.9
