tahun_data,kabupaten_kota,prevalensi_stunting
2023,Tegal,18.24
2023,Banjarnegara,17.97
2023,Banyumas,17.81
2023,Wonosobo,16.76
2023,Brebes,16.02
2023,Magelang,15.4
2023,Klaten,13.71
2023,Temanggung,13.55
2023,Purworejo,13.41
2023,Rembang,12.84
2023,Purbalingga,12.49
2023,Blora,12.13
2023,Pemalang,11.44
2023,Kota Tegal,11.32
2023,Pekalongan,11.3
2023,Sragen,11.18
2023,Kendal,11.05
2023,Wonogiri,10.87
2023,Batang,10.79
2023,Kota Magelang,10.36
2023,Kebumen,10.02
2023,Boyolali,8.9
2023,Pati,7.54
2023,Kota Pekalongan,7.46
2023,Sukoharjo,7.09
2023,Jepara,6.78
2023,Kota Salatiga,5.99
2023,Grobogan,5.73
2023,Karanganyar,5.41
2023,Kota Surakarta,5.05
2023,Semarang,4.01
2023,Cilacap,3.9
2023,Kudus,3.64
2023,Demak,2.58
2023,Kota Semarang,1.14
